titles,likes,date,images
"['Why a Rate Intelligence Experience Should Have the Best Art & Science Behind it', 'Our Point of View on the Modern Age Distribution Ecosystem', 'Are You Leading A Future-Ready HR?', '5 Ways to Ace Hospitality Marketing in 2020', 'Why UX is Instrumental for Revenue Management', 'Visualizing Data Like a Pro: The Key to Unlock the Data Gold Mine', 'Smart Shopping for Data: Driving Analytics Excellence in the Airlines Industry', 'Mr. Hotelier, Four Signs It is Time to Change your Distribution Partner', 'Adopting SCRUM in the Organization’s People Processes']","['11', '6', '7', '5', '16', '13', '5', '5', '3']","['FEBRUARY 5, 2020', 'JANUARY 31, 2020', 'JANUARY 29, 2020', 'JANUARY 20, 2020', 'JANUARY 14, 2020', 'DECEMBER 17, 2019', 'DECEMBER 4, 2019', 'NOVEMBER 29, 2019', 'NOVEMBER 22, 2019']","['https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/02/Why-a-Rate-Intelligence-Experience-Should-Have-the-Best-Art-Science-Behind-it-v2-copy-1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/01/Distribution-blog-banner.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/01/HR-blog.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/01/5-Ways-to-Ace-Hospitality-Marketing-in-2020.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/01/RateGain-Leveraging-UI-to-Create-Value_Blog.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/12/Visualizing-Data-Like-a-Pro-The-Key-to-Unlock-the-Data-Gold-Mine.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/12/Smart-Shopping-for-Data-Blog.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/11/Four-Signs-It-is-Time-to-Change-your-Distribution-Partner-5.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/11/Navigating-Constant-Consolidation-banner.jpg']"
"['How to Deliver Value In The Era Of Hospitality Industry Consolidation?', 'What will define Long Term Success for Airlines', 'Challenges for Airline Revenue Managers Beyond 2020', 'Navigating Constant Consolidation', 'Our point of view on Distribution Journey', 'Putting User Experience at the center of a new problem', 'The Last Distribution Challenge', 'Can Car Rental analytics help make better investment decisions?', 'Top 3 considerations for blueprinting your content transformation']","['4', '8', '9', '8', '8', '10', '2', '8', '7']","['NOVEMBER 19, 2019', 'NOVEMBER 11, 2019', 'OCTOBER 23, 2019', 'OCTOBER 21, 2019', 'OCTOBER 17, 2019', 'OCTOBER 15, 2019', 'OCTOBER 15, 2019', 'OCTOBER 4, 2019', 'SEPTEMBER 21, 2019']","['https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/11/Navigating-Constant-Consolidation-banner.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/11/airline.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/10/Airline-Revenue-Manager-PR-2.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/10/Airline-Revenue-Manager-Blog.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/10/Distribution-blog-banner.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/10/ui-banner-1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/10/Re-Configuring-The-Distribution-Models-For-The-Next-Gen-Distribution-Ecosystem.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/09/Can-Car-Rental-analytics-help-make-better-investment-decisions-2.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/09/blog-post.jpg']"
"['The Path to A Shared Future: Can car rentals help in turning around the industry slowdown ?', 'Delivering Duty of Care in the Age of Corporate Rogue Travel', 'Who is winning the experience game in travel and hospitality?', 'Airlines: Soaring on Ancillary Revenue', 'Transaction Tracking and Analytics: Steering Car Rental', 'Enhancing Car Rental Revenue Management with AI-driven Dynamic Pricing', 'Busting a billion-dollar digital myth for cruise lines!', 'The future of distribution strategy at your doorstep', '‘A Thousand Words’: Why Great Visuals Speak Directly, Fluently and Effortlessly']","['7', '5', '2', '5', '5', '5', '6', '4', '4']","['SEPTEMBER 11, 2019', 'AUGUST 21, 2019', 'JULY 22, 2019', 'JULY 18, 2019', 'JUNE 24, 2019', 'JUNE 24, 2019', 'FEBRUARY 8, 2019', 'SEPTEMBER 24, 2018', 'AUGUST 27, 2018']","['https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/09/cargain.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/08/Delivering-Duty-of-Care-in-the-Age-of-Corporate-Rogue-Travel.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/07/Who-is-winning-the-experience-game-in-travel-and-hospitality-1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/07/Airlines-Soaring-on-Ancillary-Revenue.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/06/car.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/06/car1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/Cruise-Image-1218x609.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/Dss-Blog-1200x600.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/2-brandgain-1200x600.jpg']"
"['New Age Data is Driving Growth for Travel Package Providers', 'Tackling content issues head-on', '7 Top Trends In Hotel Distribution Today', 'HRS Selects RateGain as its Channel Management Partner for their newest connectivity platform', 'Code Itineraries: A road map for the travel industry to unlock one trillion dollars in value by 2025', ""5 Ways to Improve Your Hotel's Visibility within Search Engines"", 'Hitting a home run in automation tools', 'Tapping the world’s no. 1 outbound travel market', ""It's 100% pure adrenaline! Introducing Distribution Strategy Studio""]","['3', '4', '3', '3', '3', '3', '3', '3', '3']","['AUGUST 24, 2018', 'JULY 16, 2018', 'JULY 13, 2018', 'MAY 4, 2018', 'APRIL 11, 2018', 'APRIL 9, 2018', 'APRIL 3, 2018', 'JANUARY 22, 2018', 'JANUARY 11, 2018']","['https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/1-packages-1200x600.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/Distribution-900x450.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/Retagain_HRS-1-764x382.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/code_itinerary1-534x267.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/SEO_HOTEL-1-650x325.png', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/madrid-TT-hres-2011_8-xlarge-1280x640.jpg']"
"['Your Hotel Reputation Matters to Your Revenue', 'Hoteliers, Take a Re-look at Parity and Prevent Revenue Leakages', 'Assessing the boom in travel startups', 'Building the Perfect Revenue Strategy Is Not Enough; Advanced Hotel Revenue Management Tool is a Must!', 'Travel Industry is Already Using Geo-based Competitive Price Tracking; Act Now Before Its Too Late', 'We Bet You Will Not Want to Miss The Benefits of a Comprehensive Hotel Price Intelligence Solution!', 'Sharing economy blurring the lines in hospitality', 'Tracking Mobile App Rates of Your Competition is a MUST for Your Price Strategy!', 'Will Artificial Intelligence Replace Human Intelligence in Revenue Management and Pricing Analysis?']","['4', '3', '4', '3', '4', '4', '4', '3', '3']","['DECEMBER 11, 2017', 'NOVEMBER 23, 2017', 'NOVEMBER 21, 2017', 'NOVEMBER 13, 2017', 'NOVEMBER 3, 2017', 'OCTOBER 25, 2017', 'OCTOBER 23, 2017', 'OCTOBER 11, 2017', 'SEPTEMBER 29, 2017']","['https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/bigstock-Reputation-Management-147765833-2800x1400-scaled.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/revenu_leakage_banner_mail1-754x377.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/bigstock-Increase-Sales-Revenue-66983953-765x382-764x382.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/Geo-pricing-764x382.png', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/pricing-764x382.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/bigstock-202739491-2800x1400-scaled.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/Artificial_Intelligence-764x382.jpg']"
"['It’s time to reexamine the data structure behind hotel distribution', '7 Fundamental Hotel Marketing Strategies To Stand Out From Your Competition', 'Design an Effective Hotel Guest Loyalty Program to Increase Hotel Bookings and Revenue', 'Yield Management in Hospitality - Important for Efficient Revenue Management Strategy', 'What Makes Your Guests The Promoters of Your Brand?', 'Tapping the potential of IoT', 'The Role and Future of Technology in Travel Industry', 'New Consumer Review Dashboard For Hotels', 'Measuring Demand in Your City will Skyrocket your Revenue - Here is How!']","['2', '4', '4', '3', '3', '3', '3', '3', '3']","['SEPTEMBER 25, 2017', 'SEPTEMBER 21, 2017', 'SEPTEMBER 18, 2017', 'SEPTEMBER 14, 2017', 'SEPTEMBER 7, 2017', 'AUGUST 29, 2017', 'AUGUST 28, 2017', 'AUGUST 21, 2017', 'AUGUST 21, 2017']","['https://rategaincom.wpenginepowered.com/wp-content/uploads/2017/09/bigstock-Digital-Marketing-New-Startup-190890487-2800x1400-1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/bigstock-Loyalty-Program-145042721-2800x1400-scaled.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/bigstock-192270436-2800x1400-scaled.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/bigstock-193620838-3000x1500-scaled.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/Social-media-travel-industry-300x207-1-1100x759-1-570x285.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/BG_blog_banner2-764x382-764x382.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/hotelier-demand-forecasting-762x381-1.jpg']"
"['7 Best Methods to Gather Quality Guest Feedback', 'The Brilliant Hotelier: Face To Face With Panayiotis Kyprianou From Thanos Resorts & Spas, Cyprus', 'Monitoring Hundreds of Booking Sites - No Longer a Challenging Task for Hoteliers', 'Hotels, Utilize Closed User Group (CUG) Customers to Increase Revenue Through Direct Bookings', 'Create a Revenue Centric Culture in your Hotel by Integrating Technology', 'Despite the best efforts of hotel brands, travelers still love to click around', 'Hoteliers, Are You Using Mobile to Support Your Online Reputation Management?', '7 Practical tips to improve online reviews of your hotel', '14 Features to Consider Before Your Hotel Decides to Devote In a Channel Manager']","['2', '4', '3', '4', '4', '4', '4', '4', '4']","['AUGUST 16, 2017', 'AUGUST 14, 2017', 'AUGUST 10, 2017', 'AUGUST 8, 2017', 'AUGUST 2, 2017', 'AUGUST 1, 2017', 'JULY 31, 2017', 'JULY 25, 2017', 'JULY 24, 2017']","['https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/bigstock-Business-Man-Select-Happy-156570752-2800x1400-scaled.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/G8H6842-1-4896x2448-scaled.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2017/08/bigstock-Support-Help-Unity-Togethernes-118375838-2800x1400-1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/bigstock-Teamwork-And-Integration-Conce-66966004-2800x1400-scaled.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/bigstock-Reputation-Popular-Ranking-Hon-184164262-3596x1798-scaled.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/bigstock-Online-Reviews-Evaluation-Time-185136694-2800x1400-scaled.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2016/03/Channel-Management-Features-to-Choose-the-Right-Hotel-Channel-Manager.webp']"
"['Managing Hotel Guest Sentiment and Online Presence to Create Revenue Centric Culture', 'Hoteliers, You Need a Channel Manager with an Edge to Stand out from Competition', 'Blockchain and its potential to upend the travel industry', 'Hoteliers, Learn How to Create A Revenue Centric Culture in Your Hotel', 'Hoteliers, Learn About The Growing Importance of Hotel Online Reputation Management', 'How to Make Restaurant’s Online Reputation a Secret Sauce in Enhancing your Hotel Brand?', 'Engaging Travelers Through Social Media Can Reap Umpteen Benefits for Hotels', 'Approach For A Balanced Hotel Distribution Strategy - Learn Why Hotels Should Adopt It', '9 Tips to Build a Hotel’s Facebook Strategy & Improve Guest Experience']","['4', '3', '3', '4', '4', '4', '4', '2', '3']","['JULY 19, 2017', 'JULY 18, 2017', 'JULY 17, 2017', 'JULY 10, 2017', 'JULY 4, 2017', 'JUNE 28, 2017', 'JUNE 19, 2017', 'JUNE 14, 2017', 'JUNE 6, 2017']","['https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/bigstock-Business-Man-Select-Happy-156570752-2800x1400-scaled.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/Distribution-900x450.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/bigstock-Increase-Sales-Revenue-66983953-765x382-764x382-1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/bigstock-Reputation-Management-145495634-2800x1400-scaled.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/restaurant_online_repuptation2-870x435.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/hotel-social-media-960x480.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/channelmanager-1094x547.png', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/facebook_bannerImg-764x382.jpg']"
"['Top Trends: Millennial Travelers & the Hospitality Sector', 'Evolving Role Of Hotel Revenue Manager - Part 4', 'The Evolving Role of Revenue Managers - Part 3', 'Good translation key to staying in global marketplace', 'The Evolving Role Of Hotel Revenue Managers – Part 2', 'How Your Hotel distribution & Online Reputation Strategy is key to RevPAR Management', 'The Evolving Role of Hotel Revenue Managers - Part 1', '5 Effective Ways Hotels Could Conduct Guest Surveys and Loyalty Programs', 'Hoteliers, Are Vacation Rentals Eating Your Lunch?']","['3', '2', '3', '3', '3', '3', '3', '3', '3']","['MAY 30, 2017', 'MAY 26, 2017', 'MAY 24, 2017', 'MAY 24, 2017', 'MAY 17, 2017', 'MAY 15, 2017', 'MAY 10, 2017', 'MAY 2, 2017', 'APRIL 26, 2017']","['https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/4FA1CA06CC244CDA241A54F378ACCCBFD4056C5D0D5865A59Fpimgpsh_fullsize_distr-764x382.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/blog_img-764x382.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/bigstock-Competitive-Edge-119382113-2800x1400-scaled.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/bigstock-165382157-2800x1400-scaled.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/bigstock-184358374-3000x1500-scaled.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/bigstock-Finance-Report-Concept-Flat-S-124822064-3000x1500-scaled.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/bigstock-Business-Man-Select-Happy-156570752-2800x1400-scaled.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2017/04/vacation-rental_airbnb-1428x714-1024x512-1.jpg']"
"['Abbreviations are not a content strategy', 'The Future of Hotel Revenue Management – BOTs or Humans?', 'Hoteliers, Learn How to Overcome the Challenges in Online Reputation Management', 'Managing Seasonal Market Changes to Ensure your Hotel Stays on Top - Part 4', 'Managing Seasonal Market Changes to Ensure your Hotel Stays on Top - Part 3', 'Managing Seasonal Market Changes to Ensure your Hotel Stays on Top - Part 2', 'Solving the hospitality industry’s ‘content conundrum’', 'Managing Seasonal Market Changes to Ensure your Hotel Stays on Top - Part 1', 'Hoteliers, Beat the Competition and Be The Market Leaders By Adopting Automation']","['3', '3', '3', '4', '3', '4', '2', '3', '2']","['APRIL 24, 2017', 'APRIL 18, 2017', 'APRIL 14, 2017', 'APRIL 13, 2017', 'APRIL 11, 2017', 'APRIL 7, 2017', 'APRIL 3, 2017', 'APRIL 3, 2017', 'MARCH 27, 2017']","['https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/artificial-intelligence-risk-reward-now-labs-2088x1044.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/bigstock-Business-Or-Marketing-Concept-181728700-1-617x308.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/Seasonality-356x178.png', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/bigstock-Competitive-Advantage-Concept-118415714-2750x1375-scaled.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/bigstock-Businessman-Hand-Drawing-Sales-118618487-3800x1900-scaled.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/bigstock-153294449-3000x1500-scaled.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/automation-764x382-764x382.jpg']"
"['How Can Hotels Use Google to Maximise their Online Presence?', 'Revenue Management & Marketing Automation can Help Independent Hotels Stay Ahead', 'Big Data Challenge', 'Hoteliers, Design Your Revenue Management Strategy in Pre-Opening Stage', 'Hoteliers, Keep a Track of Events and Holidays To Increase your Revenue Many Folds', '3 Effective Hotel Pricing Strategy Can Boost Your Hotel Revenue', ""How to Manage Hotel's Online Reviews & Guest Experience"", 'Why Should Hotels Pay Special Attention to Demand Forecasting?', 'The Brilliant Hotelier: Face to face with Deanna Jayasundera from Theme Resorts and Spas, Sri Lanka']","['2', '4', '4', '4', '3', '5', '3', '3', '3']","['MARCH 17, 2017', 'MARCH 14, 2017', 'MARCH 8, 2017', 'MARCH 2, 2017', 'FEBRUARY 20, 2017', 'FEBRUARY 13, 2017', 'FEBRUARY 2, 2017', 'JANUARY 25, 2017', 'JANUARY 16, 2017']","['https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/google_banner_img-764x382.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/bigstock-Action-Plan-Action-Plan-Str-159437243-2800x1400-scaled.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/bigstock-133294829-2800x1400-scaled.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/bigstock-Calendar-Note-Schedule-Memo-Ma-148425554-2800x1400-scaled.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/bigstock-Pricing-Strategy-141013019-2800x1400-scaled.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/hotel-reviews-760x380.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/hotelier-demand-forecasting-762x381.jpg']"
"['RateGain’s Top 12 Blogs of 2016', 'Managing Real-Time Room Inventories Across Multiple OTAs', 'The Brilliant Hotelier: Face 2 Face with Ria Roberto, the Director of Revenue Management at Kenz Hotel Management, UAE', 'Be the Revenue Management Hero of your Hotel', 'Hotels, Let’s Go Direct!', 'Tips to Build Customer Loyalty for Your Restaurant', 'Systems Reliability, A Necessity for Hotel Operations: Part 2', 'Is Your Hotel United by Goals but Divided by Systems?', 'The Brilliant Hotelier: Face 2 Face with I Nyoman Astama, General Manager of the Bali Niksoma Boutique Beach Resort']","['4', '2', '2', '4', '4', '4', '4', '4', '4']","['JANUARY 3, 2017', 'DECEMBER 27, 2016', 'DECEMBER 19, 2016', 'NOVEMBER 28, 2016', 'NOVEMBER 23, 2016', 'NOVEMBER 21, 2016', 'NOVEMBER 18, 2016', 'NOVEMBER 16, 2016', 'NOVEMBER 15, 2016']","['https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/Final-White-3-800x400.png', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/otas-versus-branddotcom-1740x870.png', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/al-manzel-3-1024x763-1024x512.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/rev_hero_img-472x236.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/restaurant-948x474.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/bigstock-Summer-Vacation-And-Online-Boo-98043824-1-300x141-282x141.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/sdf-740x370.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/bali-niksoma2-1024x544-1024x512.jpg']"
"['Systems Reliability, A Necessity for Hotel Operations: Part 1', ""Is your Hotel Website Ready for Google's Latest Mobile Updates"", 'Optimize Your Hotel’s SEO and Mobile Strategy', 'The Brilliant Hotelier: Face 2 Face with Stavros Drakou, Director at Cyprotels Hotels and Resorts, Cyprus', 'What’s spookier than Halloween for Hoteliers?', 'Tapping the phenomenal potential of the Asia Pacific region', 'The Brilliant Hotelier: Face 2 Face with Trisna Widia, Marketing & E-Commerce Manager, Prime Plaza Hotels and Resorts, Indonesia', 'How to Increase Hotel Direct Bookings? Don’t Ignore the Role of a Booking Engine', 'Weary of Disruption? 5 Simple Steps to Disrupt the Disruptions in the Rapidly Changing Hospitality Industry']","['3', '3', '4', '1', '2', '2', '2', '2', '2']","['NOVEMBER 11, 2016', 'NOVEMBER 8, 2016', 'NOVEMBER 3, 2016', 'NOVEMBER 2, 2016', 'OCTOBER 26, 2016', 'OCTOBER 10, 2016', 'OCTOBER 6, 2016', 'SEPTEMBER 26, 2016', 'SEPTEMBER 21, 2016']","['https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/Novotel_Muenchen_M_3050027c-460x230.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/Google-update-mobile-friendly-850x425.png', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/bigstock-130275857-900x450.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/cypro-900x450.png', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/pumpkins-3-849x424.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/PPHotels-768x1024-768x384.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/drive-direct-bookings-1024x512-1024x512.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/Disruption3-420x210.jpg']"
"['Disruption in the Hotel Industry and Changing Face of the Global Travel Market', 'The Brilliant Hotelier: Tête-à-Tête with Richard Lewis, the CEO of Landmark Hotels, Dubai', 'The fast-changing world of hospitality distribution', 'Hotels, Are You Prepared for Digital Detox Travelers?', 'The Brilliant Hotelier: Face 2 Face with the Revenue Director at J5 Rimal Hotel Apartments, Dubai', 'How Hotels of Tomorrow are Improving Guest Experience with Technology?', 'Sharing economy and alternative lodging offer great opportunities', 'How can Hotels Generate More Revenue from Customer Loyalty - Part II', 'How can Hotels Generate More Revenue from Customer Loyalty - Part I']","['2', '3', '3', '4', '4', '4', '4', '3', '3']","['SEPTEMBER 16, 2016', 'SEPTEMBER 15, 2016', 'SEPTEMBER 12, 2016', 'SEPTEMBER 6, 2016', 'SEPTEMBER 2, 2016', 'SEPTEMBER 1, 2016', 'AUGUST 29, 2016', 'AUGUST 25, 2016', 'AUGUST 19, 2016']","['https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/fdg-440x220.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/df-1430x715.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/No-wifi-image-568x284.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/J5-Rimal-900x450.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/fg-584x292.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/make-hotel-revenue-customer-loyalty-1430x715.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/expert-1718x859.jpg']"
"['Travel agents: a re-emerging force in hospitality distribution', '5 Things About Hotel Revenue Management Your Boss Wants to Know – Part II', 'Pikachu Conjures his Pokemon Friends for Increasing Hotel Revenues', ""The sensible economics of 'one to many'"", '5 Things About Hotel Revenue Management Your Boss Wants to Know - Part I', 'Hotels, Improve your Online Distribution Strategy with Six Simple Tips', 'How to Ensure the Demand Generated is Translated into Increased Revenues?', 'Brexit: The Impact on Travel and Tourism Industry, Now and Later', 'Create a new chapter in the relationship between Your Hotel & Guests with Chat Tools']","['3', '2', '3', '3', '3', '3', '3', '3', '3']","['AUGUST 15, 2016', 'JULY 28, 2016', 'JULY 26, 2016', 'JULY 26, 2016', 'JULY 22, 2016', 'JULY 12, 2016', 'JULY 11, 2016', 'JUNE 27, 2016', 'JUNE 21, 2016']","['https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/blog-900x450.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/bigstock-Increase-Sales-Revenue-66983953-765x382-764x382-1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/channelmanager-1094x547.png', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/hotel-revenue-management-system-900x450.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/Brexit-900x450.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/guest-satisfaction-900x450.jpg']"
"['Effective Ways to Measure & Generate Demand – Part V', 'Effective Ways to Measure & Generate Demand – Part IV', 'Effective Ways to Measure & Generate Demand - Part II', 'Effective Ways to Measure & Generate Demand – Part III', 'Effective Ways to Measure and Generate Demand - Part I', '8 Top Tips to Choose the Right Hotel Channel Manager', 'Comparing and Contrasting Industry Problems with Revenue Optimisation', 'Making Cents of RevGain: An Interview With the Revenue Manager at St. George Lycabettus Hotel, Greece', 'Tapping the potential of emerging markets']","['2', '2', '3', '4', '4', '4', '4', '5', '4']","['JUNE 19, 2016', 'JUNE 17, 2016', 'JUNE 15, 2016', 'JUNE 15, 2016', 'MAY 17, 2016', 'MAY 3, 2016', 'APRIL 27, 2016', 'APRIL 20, 2016', 'APRIL 19, 2016']","['https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/Online-Guest-Reviews-hotels-900x450.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/hotel-demand-900x450.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/Way-connection-or-Common-Pool-Inventory-963x481.png', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/rate-intelligence-900x450.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2016/03/Channel-Management-Top-Tips-to-Choose-the-Right-Hotel-Channel-Manager.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/Rev1-699x349.jpg']"
